step,episode,ep_return,ep_env_return,ep_steps,critic_loss,q1_mean,actor_loss,alpha,entropy,restarts,wall_min
81750,1,6958.64,4971.53,1000,20.439,17.991,0.0,0.0,0.0,0,1.4
82750,2,6872.73,4933.84,1000,18.3899,21.776,0.0,0.0,0.0,0,2.8
83750,3,8185.65,5721.37,1000,21.651,14.202,0.0,0.0,0.0,0,4.1
84750,4,7827.98,5511.55,1000,22.6333,12.184,0.0,0.0,0.0,0,5.5
86000,1,7433.87,5209.35,1000,20.0745,6.086,0.0,0.0,0.0,0,1.2
86894,2,5885.25,4740.93,894,22.3999,3.465,0.0,0.0,0.0,0,2.3
87894,3,5330.12,4324.18,1000,29.4437,0.499,0.0,0.0,0.0,0,3.6
88894,4,7860.95,5464.74,1000,25.6274,-5.275,0.0,0.0,0.0,0,4.8
89894,5,7923.87,5755.95,1000,26.6854,-9.868,0.0,0.0,0.0,0,6.1
90894,6,6516.81,4493.19,1000,25.9234,-15.294,15.9986,0.1379,-3.028,0,7.5
91894,7,5305.6,3732.67,1000,33.7171,-19.619,19.4049,0.1437,-3.225,0,9.0
92894,8,6849.84,4864.36,1000,28.4878,-18.893,19.2555,0.1453,-3.134,0,10.5
93894,9,3463.6,2403.97,1000,35.3332,-22.175,22.721,0.1498,-3.007,0,12.0
94894,10,5083.7,3988.55,1000,31.6756,-27.228,27.7635,0.1511,-3.119,0,13.4
95894,11,7018.65,5001.2,1000,30.7745,-28.905,28.8746,0.15,-2.914,0,14.9
96894,12,6552.98,4825.63,1000,33.2537,-28.792,28.7332,0.1459,-3.085,0,16.4
97894,13,7490.0,5240.76,1000,28.3311,-31.844,31.7272,0.144,-3.034,0,17.8
98060,14,265.46,731.01,166,33.1753,-31.678,31.8861,0.1439,-3.108,0,18.1
99060,15,4926.28,3310.38,1000,31.8113,-28.827,28.7851,0.1397,-2.948,0,19.6
99888,16,5701.85,4368.53,828,26.565,-28.781,28.2223,0.1362,-2.962,0,20.8
100888,17,6919.01,4732.27,1000,28.964,-28.497,28.3247,0.1361,-3.081,0,22.3
